T,C
100.0,2.3435297744935195e-37
104.04040404040404,3.5310623342593276e-36
108.08080808080808,4.355472365572566e-35
112.12121212121212,4.492592958191369e-34
116.16161616161617,3.946997060952993e-33
120.20202020202021,3.001007054158783e-32
124.24242424242425,2.0023261270044665e-31
128.2828282828283,1.1867486366118845e-30
132.32323232323233,6.315258059116027e-30
136.36363636363637,3.046075612295774e-29
140.40404040404042,1.3429187391621827e-28
144.44444444444446,5.452030617489345e-28
148.4848484848485,2.0519089025648364e-27
152.5252525252525,7.20175052106231e-27
156.56565656565655,2.3698619125752244e-26
160.6060606060606,7.346937811130476e-26
164.64646464646464,2.1551529403016147e-25
168.68686868686868,6.0054981399192655e-25
172.72727272727272,1.595406917466991e-24
176.76767676767676,4.053751161912234e-24
180.8080808080808,9.880809519282746e-24
184.84848484848484,2.3166099877833994e-23
188.88888888888889,5.237375455554759e-23
192.92929292929293,1.144355479784261e-22
196.96969696969697,2.4215891371679713e-22
201.010101010101,4.972396499739902e-22
205.05050505050505,9.924877176176884e-22
209.0909090909091,1.9288034410539183e-21
213.13131313131314,3.6551918101373376e-21
217.17171717171718,6.763931146927045e-21
221.21212121212122,1.2238222228426264e-20
225.25252525252526,2.1676582872666375e-20
229.2929292929293,3.762730888406768e-20
233.33333333333334,6.40779150717051e-20
237.37373737373738,1.0715904050786185e-19
241.41414141414143,1.7614029726456935e-19
245.45454545454547,2.848173975955821e-19
249.4949494949495,4.534160167127388e-19
253.53535353535352,7.111685918762371e-19
257.57575757575756,1.0997559066025919e-18
261.6161616161616,1.6778460523981086e-18
265.65656565656565,2.5270092797959958e-18
269.6969696969697,3.7593382990727966e-18
273.73737373737373,5.5271595829552846e-18
277.77777777777777,8.035281825232928e-18
281.8181818181818,1.15562924352193e-17
285.85858585858585,1.644948116273412e-17
289.8989898989899,2.3184040871568788e-17
293.93939393939394,3.236726819754771e-17
297.979797979798,4.477856030832127e-17
302.020202020202,6.141007709486801e-17
306.06060606060606,8.351500966164273e-17
310.1010101010101,1.1266446468398102e-16
314.14141414141415,1.508140387831893e-16
318.1818181818182,2.0038121624943034e-16
322.22222222222223,2.6433477596727933e-16
326.26262626262627,3.462974380721454e-16
330.3030303030303,4.506630165719858e-16
334.34343434343435,5.827293698964063e-16
338.3838383838384,7.488484561965902e-16
342.42424242424244,9.565948034679995e-16
346.4646464646465,1.2149536956114047e-15
350.5050505050505,1.5345303539591068e-15
354.54545454545456,1.9277813593158372e-15
358.5858585858586,2.4092695121151774e-15
362.62626262626264,2.995943267963126e-15
366.6666666666667,3.7074418128901495e-15
370.7070707070707,4.566426757483885e-15
374.74747474747477,5.5989413323022456e-15
378.7878787878788,6.8347978592856345e-15
382.82828282828285,8.307994156141949e-15
386.8686868686869,1.0057159403823595e-14
390.90909090909093,1.2126029872303117e-14
394.949494949495,1.4563954758014325e-14
398.989898989899,1.742643223874765e-14
403.030303030303,2.0775675699711946e-14
407.07070707070704,2.4681209929157137e-14
411.1111111111111,2.9220496924668983e-14
415.1515151515151,3.447959079326754e-14
419.19191919191917,4.055382107100554e-14
423.2323232323232,4.754850363209621e-14
427.27272727272725,5.5579678204855707e-14
431.3131313131313,6.477487136304887e-14
435.35353535353534,7.527388371761272e-14
439.3939393939394,8.722959989616945e-14
443.4343434343434,1.0080881976713225e-13
447.47474747474746,1.1619310924233037e-13
451.5151515151515,1.335796688776787e-13
455.55555555555554,1.5318221838608335e-13
459.5959595959596,1.7523189508104363e-13
463.6363636363636,1.9997816418374908e-13
467.67676767676767,2.2768973885112336e-13
471.7171717171717,2.586555077176242e-13
475.75757575757575,2.931854676896833e-13
479.7979797979798,3.3161165968865123e-13
483.83838383838383,3.742891050059312e-13
487.8787878787879,4.2159673991257725e-13
491.9191919191919,4.73938346154856e-13
495.95959595959596,5.317434749668885e-13
500.0,5.954683622412397e-13
